"nome";"parlato da";"descrizione"
"Sindarin";"Dúnedain, Nani, Mezzelfi, Lossoth, Uomini dei Boschi, Elfi Noldor, Elfi Silvani, Elfi Sindar (lingua madre)";"Il Sindarin, conosciuto anche come grigio elfico, è una delle principali lingue parlate nella Terra di Mezzo. Derivata dal Quendi era assai diffusa tra gli Elfi rimasti nella Terra di Mezzo tanto da assurgere praticamente a lingua franca tra le varie razze del Beleriand durante la Prima Era. Era anche parlata correntemente dai Númenóreani prima che prendessero piede gli Uomini del Re, e gli Elendili ne fecero la lingua ufficiale dei regni di Gondor e Arnor accanto all'Ovestron. Inventata da John Ronald Reuel Tolkien, parlata dagli Elfi del Beleriand e derivata dall'idioma primordiale ideato sulle sponde del lago di Cuiviénen. Essendo il linguaggio di quegli Eldar i quali erano giunti alle sponde della Terra di Mezzo e invece di traversare il Mare erano rimasti sulle coste del Beleriand. Il loro re era Thingol Grigiomanto di Doriath, e durante il lungo crepuscolo il loro idioma si era trasformato con la mutevolezza delle terre dei mortali, divergendo notevolmente dal linguaggio degli Eldar di là dal Mare. - Il Signore degli Anelli, Appendice F."
"Quenya";"Dúnedain, Mezzelfi, Elfi Noldor (lingua madre), Elfi Silvani, Elfi Sindar";"Il Quenya, anche chiamato Alto Elfico o Antica Lingua, è una lingua la cui origine deriva dall’Elfico Primordiale (e anche dall’Eldarin Comune). Viene parlato dalle due stirpi elfiche che erano giunte sino a Valinor: i Vanyar e i Noldor, quest’ultimi, con lo spostamento verso la Terra di Mezzo finirono col parlare il Sindarin. Si può dire, quindi, che il Quenya viene parlato esclusivamente nella terra di Aman."
"Silvano (Bethteur)";"Elfi Silvani (lingua madre), Elfi Sindar";"Il Silvano (Nandorin) è la lingua parlata dal popolo dei Nandor, quei Teleri che durante il Grande Viaggio scelsero di non proseguire e stabilirsi invece sulle rive dell'Anduin sotto la guida di Lenwë. Il termine Nandorin significa letteralmente 'Lingua dei Nandor'. Dai suoi locutori era chiamato anche Danian (dal nome del loro capo Dân). Il Danian era diviso in due dialetti, cioè l'Ossiriandrin/Ossiriandish o Danian Occidentale parlato in Ossiriand e il Laiquenderin o Danian Orientale parlato a est degli Ered Lindon."
"Adunaico";"Númenóreani Neri (lingua madre), Corsari (lingua madre), Dúnedain (lingua madre), Elfi Noldor";"L'Adûnaico era l'antica lingua dei Dúnedain di Númenor derivata dalla lingua degli Uomini della Casa di Hador e della Casa di Bëor. Questa lingua era largamente parlata dal popolo dell'Isola e finì per sostituire il Quenya durante il regno degli Uomini del Re. Il nome Adûnaico significa letteralmente 'Lingua degli Uomini dell'Ovest'."
"Apysaico";"Haradrim del Nord, Haradrim del Sud (lingua madre)";"Apysaico (spesso scritto anche Apisaico) è una lingua parlata dalle tribù umane del Far Harad (Haradrim del Sud). L'idioma è suddiviso in due varianti principali, Apysaico classico: antica lingua utilizzata principalmente per scopi storici o culturali e Apysaico moderno: dialetto semplificato parlato comunemente dalle tribù del deserto e dai nomadi per facilitare i commerci e le comunicazioni."
"Atliduk";"Beorniani (lingua madre)";"L'Atliduk è la lingua parlata dai Beorniani (i mutatori di pelle che discendono da Beorn). Origine geografica: viene parlato principalmente nelle valli dell'Anduin, l'area boscosa e collinare a ridosso di Bosco Atro dove risiedono i Beorniani. Radici linguistiche: si tratta di una variante o stretto parente del Nahaiduk, un altro idioma degli Uomini del Nord (Northmen). Riceve anche forti influenze dal dialetto della Valle di Dale e dall'Ovestron (la Lingua Comune)."
"Linguaggio Nero (Morbeth)";"Mezzorchi, Mezzi troll, Uruk-hai (lingua madre), Olog-hai (lingua madre), Troll (lingua madre)";"Il Linguaggio Nero (Morbeth) è la lingua ufficiale delle forze di Mordor. È stato creato originariamente da Sauron durante la Seconda Era per imporre un idioma comune a tutti i suoi servitori (Orchi, Troll e Uomini corrotti), i quali fino ad allora comunicavano tramite una miriade di dialetti orcheschi differenti. La lingua della magia oscura: requisito fondamentale per il lancio di incantesimi da parte di incantatori malvagi (come gli Stregoni o i Sacerdoti dell'Oscuro Signore), in parallelo all'uso che i popoli liberi fanno del Quenya o del Sindarin. È una lingua comune di creature malvagie, Nazgûl, Orchi d'élite (Uruk-hai), e di umani corrotti come i Dunlendings ribelli o i traditori infiltrati nelle Marche del Nord. Forma 'Pura' vs Dialetti: la forma pura del Morbeth viene parlata solo da Sauron, dai Nazgûl e dagli ufficiali superiori di Mordor. Gli Orchi comuni utilizzano invece una versione 'degradata' (il Morbeth Orchesco), che mescola la grammatica della Lingua Nera con vecchi termini tribali gergali. Scrittura: sebbene sia una lingua oscura, non possiede un alfabeto proprio. Nei documenti o sulle incisioni (come la celebre scritta sull'Unico Anello) viene trascritta utilizzando i caratteri elfici corsivi, noti come Tengwar (o talvolta le rune Cirth)."
"Dunael";"Dunlandiani (lingua madre), Rohirrim, Wose";"È la lingua madre per la cultura dei Dunlandiani. Radici linguistiche: il Dunael è una lingua degli Uomini della Terra di Mezzo indipendente dall'Ovestron (la Lingua Comune) e dall'Adûnaico (la lingua di Númenor). Una lingua dai suoni duri e gutturali, ispirata storicamente alle lingue celtiche/gallesizzanti (con vocaboli fittizi come Rhyfelwr per 'guerriero' o Tyr per 'torre'). Viene parlata principalmente nel Dunland, nelle colline ai piedi delle Montagne Nebbiose e nelle zone limitrofe a Isengard e Rohan. Esistono vari dialetti del Dunael a seconda dei clan del Dunland (i Clan dei Cani, dei Lupi, ecc.), ma la struttura base rimane sufficientemente uniforme da permettere la comunicazione tra tribù diverse."
"Haradaico";"Númenóreani Neri, Corsari, Haradrim del Nord (lingua madre), Haradrim del Sud, Variag";"L'Haradaico (Haradaic) è la famiglia linguistica dominante nel Vicino Harad (Harad Settentrionale) ed è l'idioma principale associato agli Haradrim (i Sudroni). A differenza dell'Apysaico, che domina nelle zone desertiche del profondo sud, l'Haradaico è la lingua della diplomazia, della guerra e dei grandi commerci a ridosso dei confini di Gondor.  Pur avendo l'Adûnaico come lingua aristocratica o storica, i Corsari e i Númenóreani Neri che vivono nei porti del sud parlano correntemente l'Haradaico per commerciare, governare e arruolare mercenari. Anche i feroci Variag hanno spesso una conoscenza parziale di questo idioma a causa delle frequenti alleanze militari e carovaniere. Parole come Mûmak (l'Olifante) o termini come Gûl, usato in Haradaico per definire una specifica classe di demoni non-morti, fanno parte di questo ceppo."
"Khuzdul (Nanesco)";"Nani (lingua madre), Umli";"Il Khuzdul (chiamato comunemente Nanesco o Dwarvish) è la lingua nativa dei Nani. Il Khuzdul ha una regola ferrea e assoluta: ai personaggi non-Nani (Elfi, Uomini, Hobbit) è vietato imparare il Khuzdul. I Nani considerano la loro lingua un segreto sacro e non la insegnano mai agli stranieri. Unica rarissima eccezione può essere concesso a personaggi storici (come alcuni re degli Elfi in ere passate). I nomi che i Nani usano pubblicamente (come Gimli, Thorin, Balin) non sono Khuzdul, ma nomi in lingua degli Uomini del Nord (Ovestron/Atliduk). I loro veri nomi in Khuzdul sono segreti, non vengono mai rivelati agli stranieri e non appaiono nemmeno sulle loro tombe. Una lingua rigida, orgogliosa e immutabile, creata per loro dal Vala Aulë (il Fabbro). La radice K-Z-D indica tutto ciò che riguarda i Nani (Khâzad significa 'I Nani', Khuzdul 'la lingua dei Nani'). È una lingua dai suoni duri, cacofonici e gutturali, deliberatamente sgradevole all'orecchio degli Elfi. Il Khuzdul scritto non usa caratteri corsivi. Viene trascritto utilizzando le Cirth (le rune nanesche, note anche come Angerthas Moria), perfette per essere incise su pietra, metallo o sulle pareti delle miniere. I Nani possiedono anche una seconda lingua, l'Iglishmêk. Si tratta di un complesso linguaggio dei segni gestuale. Viene usato dai Nani per comunicare in silenzio durante le imboscate in miniera o per mercanteggiare di nascosto davanti ad altre razze senza che queste se ne accorgano."
"Kuduk (Variante dell'Ovestron usata dagli Hobbit)";"Hobbit (lingua madre)";"Il Kuduk è il nome nativo della variante dell'Ovestron (la Lingua Comune) parlata esclusivamente dagli Hobbit nella Contea e nei territori limitrofi (come la Terra di Buck e Brea). Questa lingua definisce l'unicità culturale dei Mezzuomini rispetto ai Grandi Uomini. Il Kuduk non è una lingua totalmente separata, ma un dialetto fortemente modificato. Secoli prima di stabilirsi nella Contea, gli Hobbit vivevano nelle valli dell'Anduin e parlavano le lingue degli Uomini del Nord (imparentate con l'Atliduk dei Beorniani e il Rohirric). Quando migrarono a ovest, adottarono l'Ovestron dei re di Arnor, ma mantennero molti dei loro vecchi vocaboli arcaici. Un dialetto dai suoni più morbidi, colloquiali e amichevoli rispetto all'Ovestron formale di Gondor. Gli Hobbit tendono a usare forme grammaticali più semplici, molti diminutivi e un vocabolario ricco di termini legati all'agricoltura, al cibo e alla botanica. La parola Hobbit è la resa inglese del vero termine Kuduk Kud-duk (che deriva dall'antico kûd-dûkan, ovvero 'abitante dei buchi'). Il vero nome di Frodo Baggins in Kuduk è Maura Labingi, mentre Samvise Gamgee è Banazîr Galbasi."
"Labba";"Lossoth (lingua madre), Umli";"Il Labba (noto anche come Lapënykâli o Lossothren) è la lingua parlata dai Lossoth (gli Uomini delle Nevi del Nord). Questo idioma riflette l'isolamento e la dura vita di un popolo che abita le distese congelate del Forodwaith e della Baia di Forochel. Altre popolazioni artiche o vicine geograficamente hanno una parziale conoscenza del Labba. Il nome nativo della lingua significa letteralmente 'Parlata Piana' (Plain-speak), mentre il termine 'Labba' è la contrazione colloquiale utilizzata nell'Ovestron della Terra di Mezzo. I suoni del Labba sono musicali ma gutturali, strutturati per descrivere con decine di vocaboli diversi le condizioni del ghiaccio, della neve e della caccia alle balene."
"Logathig";"Dorwiniani (lingua madre), Esterling (lingua madre)";"Il Logathig è la principale famiglia linguistica associata agli Esterling (Easterlings) e ai popoli dell'est. Rappresenta la lingua dei grandi nomadi delle steppe, dei signori dei carri e dei mercanti che popolano le terre oltre il Mare di Rhûn. Il Logathig è la lingua nativa per la stragrande maggioranza delle tribù orientali, in particolare per i ceppi settentrionali dei Mûrkâta (che includono le tribù Logath, Sagath, Gargath e Wágathû). Anche gli abitanti del Dorwinion (famosi per i loro vini pregiati consumati persino dagli Elfi di Bosco Atro) parlano una variante o un dialetto strettamente imparentato con il ceppo del Logathig, sebbene conducano una vita sedentaria e cittadina molto diversa da quella dei nomadi. Le temibili confederazioni di Easterling che invasero Rhovanion e affrontarono Gondor utilizzavano dialetti appartenenti proprio alla famiglia linguistica del Logathig. Il Logathig (che significa letteralmente 'lingua dei cavalieri') deriva da un idioma ancora più antico della Seconda Era chiamato Ulgathig. Dal ceppo originale si sono poi ramificati vari dialetti regionali (come il Sagathig o l'Igathig). Trattandosi di culture nomadi o fortemente militarizzate, la scrittura del Logathig è essenziale, legata a marchi tribali e rune commerciali incise su carri o armi, a differenza della ricca tradizione letteraria dell'Ovestron o del Sindarin."
"Nahaiduk";"Beorniani, Uomini dei boschi (lingua madre)";"Il Nahaiduk è la lingua ufficiale dei Boscaioli di Bosco Atro (Woodmen of Rhovanion). Questo idioma rappresenta il legame culturale e di sangue tra i vari popoli liberi che abitano le terre selvagge del Nord. È la lingua nativa per tutti i personaggi appartenenti alla cultura dei Boscaioli di Bosco Atro. Il Nahaiduk è il ceppo linguistico originario da cui si sviluppa l'Atliduk dei Beorniani, che ne rappresenta una variante geografica. Viene parlato principalmente nelle fitte foreste di Bosco Atro occidentale (Mirkwood), lungo le valli dell'Anduin e nelle zone limitrofe ai Campi Iridati (Gladden Fields)."
"Orchesco";"Mezzorchi, Orchetti (lingua madre), Uruk-hai";"L'Orchesco (Orcish o Orkish) non è un'unica lingua coesa, ma un termine generico che raccoglie una miriade di dialetti tribali, brutali e frammentati parlati dalle diverse comunità di Orchi della Terra di Mezzo. Gli Orchi non possiedono un idioma nativo ancestrale. Nel corso delle ere, ogni tribù (come gli Orchi delle Montagne Nebbiose, di Bosco Atro o di Isengard) ha preso parole da altre lingue (incluso il Sindarin e l'Ovestron), storpiandole e mescolandole a grugniti e imprecazioni. Spesso due tribù distanti non riescono a capirsi parlando i rispettivi dialetti orcheschi. Per questo motivo, quando gruppi diversi si incontrano sono costretti a usare l'Ovestron (la Lingua Comune) come compromesso per comunicare. Meccaniche di Gioco (MERP / GiRSA) Gestione sulla Scheda: Nella scheda del personaggio o del PNG, l'abilità viene solitamente indicata come Orchesco accompagnata dal nome della regione o della tribù specifica (es. Orchesco delle Montagne Nebbiose, Orchesco di Mordor). Si fa menzione del Melkorin, una variante arcaica e leggermente più strutturata di Orchesco fortemente influenzata dal potere diretto di Morgoth. Una lingua dai suoni stridenti, gutturali e cacofonici, ricca di consonanti dure. Non ha una tradizione scritta propria: quando gli Orchi hanno la necessità di lasciare segni o messaggi (spesso marchi di territorio o maledizioni), usano rozze rune derivate dalle Cirth o simboli iconografici (come l'Occhio Rosso o la Mano Bianca)."
"Pukael";"Wose (lingua madre)";"Il Pukael (o Púkael) è la lingua ancestrale parlata dai Woses (chiamati anche Uomini Selvatici dei Boschi o Druedain), questo idioma occupa una posizione di estremo isolamento culturale e geografico. Il Pukael è classificato come una lingua completamente indipendente. Non ha alcuna radice in comune con le lingue degli Edain (come l'Ovestron o il Rohirric), né tantomeno con gli idiomi elfici o orientali. Viene parlato quasi esclusivamente nella Foresta di Druadan (ad Anórien, vicino a Gondor) e in piccole enclave isolate nei pressi di Capo Andrast (a sud-ovest di Gondor). Caratteristiche del Linguaggio secondo i Manuali ICE: i moduli geografici e i compendi delle creature descrivono il Pukael come un riflesso diretto dello stile di vita primitivo e misterioso dei Druedain. È una lingua dai suoni fortemente gutturali, caratterizzata da pause improvvise, schiocchi della lingua e grugniti. Gran parte della comunicazione verbale del Pukael è integrata da una complessa mimica facciale e gestuale impossibile da replicare per le altre razze. Il lessico è ricchissimo di termini legati alla flora, alla fauna, alle tracce degli animali e alla sopravvivenza nei boschi, ma è totalmente privo di vocaboli legati alla politica, alla tecnologia avanzata, alla finanza o alle scienze dei 'Grandi Uomini'. Il Pukael non possiede un alfabeto scritto. L'unico modo in cui i Woses tramandano messaggi visivi è attraverso l'incisione di simboli protettivi o indicazioni di caccia sulle loro celebri statue di pietra (i Pûkel-men)."
"Rohirric";"Rohirrim (lingua madre)";"Il Rohirric è la lingua ufficiale dei Signori dei Cavalli (i Rohirrim) che popolano il regno di Rohan. Questo idioma incarna l'orgoglio, la cultura cavalleresca e le radici storiche degli Uomini del Nord trapiantati nelle pianure meridionali. Il Rohirric non è nato a Rohan. Deriva direttamente dall'Éothrik, l'antica lingua che i Rohirrim parlavano quando ancora vivevano nelle alte valli dell'Anduin (come popolo degli Éothéod). Ha forti parentele storiche con il Nahaiduk (Boscaioli) e l'Atliduk (Beorniani). Sebbene quasi tutti i Rohirrim conoscano l'Ovestron per commerciare con Gondor, usano il Rohirric come lingua d'elezione per la vita di tutti i giorni, i canti di guerra, le poesie e i comandi militari all'interno dell'esercito (Éored). Il lessico del Rohirric è straordinariamente ricco e dettagliato per tutto ciò che riguarda i cavalli, le tattiche di carica, le armi da sella (lancia e arco) e la topografia delle grandi pianure erbose. I Rohirrim non sono grandi amanti della scrittura e preferiscono la tradizione orale. Quando incidono messaggi, lapidi o armi, utilizzano una variante semplificata delle rune Cirth, fortemente influenzata dalle rune degli Uomini del Nord."
"Umitico";"Umli (lingua madre)";"L'Umitico (Umitic) è la lingua madre artificiale degli Umli (i Mezzo-Nani o Half-Dwarves). Questo idioma è strettamente legato alle regioni glaciali e ai popoli dell'estremo nord della Terra di Mezzo. Viene parlato quasi esclusivamente nel Forodwaith (il Deserto del Nord) e attorno alla catena montuosa delle Montagne Grigie, dove le comunità degli Umli vivono cacciando ed estraendo minerali nelle caverne sotterranee. A causa della vicinanza geografica e commerciale, alcuni clan di Nani delle Montagne Grigie e alcune tribù di Lossoth (gli Uomini delle Nevi) arrivano a conoscere l'Umitico per poter mercanteggiare con loro. Un affascinante 'ponte culturale': un ibrido tra Khuzdul e Labba. Gli Umli nacquero originariamente dall'unione ancestrale tra i primi Nani della stirpe di Durin e gli umani indigeni del nord. Di conseguenza, l'Umitico ha ereditato la struttura grammaticale rigida e le consonanti trillate del Khuzdul (Nanesco), fondendole con i vocaboli fonetici e fluidi del Labba (Lossoth) e del Nahaiduk (Boscaioli). Il lessico è fortemente specializzato per la sopravvivenza in climi estremi. Possiede parole complesse per descrivere le tecniche di scavo nel permafrost, la forgiatura del ferro a temperature sub-zero e i segnali di pericolo durante le bufere artiche. L'Umitico non ha caratteri propri; viene scritto utilizzando i caratteri elfici corsivi adattati dagli umani, oppure tramite incisioni runiche semplificate simili alle Cirth dei Nani. Sebbene non sia la stessa lingua, un Umli e un Nano comune riescono a comprendere i concetti base l'uno dell'altro (come se parlesero a Grado 1 o 2) anche senza aver mai studiato formalmente la lingua della controparte."
"Varadja";"Variag (lingua madre)";"Il Varadja (noto anche come Khandish o Varadia) è la lingua madre dei Variags, i feroci guerrieri e formidabili cavalieri che abitano il regno di Khand. Questo idioma riflette la posizione geopolitica unica di Khand, incastrato tra Mordor, l'Harad e le distese orientali. Il Varadja è un vero e proprio 'mosaico linguistico' a causa della storia dei Variags: in origine, gli antenati dei Variags parlavano una lingua legata alle steppe orientali (affine ai dialetti degli Esterling Balchoth). Secoli di vicinanza forzata e sottomissione all'Impero di Mordor hanno alterato profondamente l'idioma. Il Varadja moderno ha infatti assorbito forti influenze fonetiche dal Linguaggio Nero (Morbeth) e dai dialetti dell'Orchesco. Nella parte meridionale di Khand, la lingua presenta anche vistosi prestiti linguistici dall'Haradaico e dalle parlate commerciali del Vicino Harad. Il Varadja è una lingua molto apprezzata nell'entroterra meridionale; carovane e mercanti di regni lontani come il sultanato di Bellakar o le città del Bozisha-Miraz lo studiano spesso come lingua franca per i commerci via terra. I Variags non possiedono una tradizione letteraria pacifica, preferendo la tradizione orale o i canti di guerra. Quando hanno la necessità di scrivere trattati di spartizione del bottino o marchi di confine, utilizzano le Lettere di Khand (Khandian Letters): un alfabeto ibrido derivato dai caratteri elfici corsivi Tengwar modificati a Mordor e dalle rune orchesche."
"Waildyth (Segnali naturali)";"Beorniani (lingua madre)";"Il Waildyth (noto anche nell'evoluzione linguistica interna come Woldtacen) è un sistema codificato di segnali naturali e gestuali utilizzato principalmente dai Beorniani (i Beijabar). Non si tratta di una lingua parlata tradizionale, ma di un metodo di comunicazione silenzioso e camuffato, vitale per la sopravvivenza nelle Terre Selvagge. Un linguaggio visivo e ambientale altamente sofisticato. I messaggi vengono trasmessi modificando elementi dell'ambiente circostante. Per un viandante comune, un ramo spezzato in un certo modo o tre ghiande posizionate sul terreno sembrano casuali; per un Ranger Beorniano, invece, possono indicare un messaggio complesso come 'imboscata di Orchi a due miglia a nord'. Include una componente di gesti manuali e posture del corpo che i cacciatori utilizzano per coordinarsi durante le battute di caccia o i pattugliamenti ravvicinati, evitando di emettere suoni che possano tradire la loro presenza nei boschi. Concettualmente somiglia all'Iglishmêk (il linguaggio dei segni dei Nani), ma mentre quello nanesco è puramente gestuale e pensato per ambienti chiusi o sotterranei, il Waildyth è totalmente orientato alla natura e alla manipolazione dell'ambiente boschivo. Quando un gruppo utilizza il Waildyth per lasciare indicazioni sul percorso, gli inseguitori (come gli Orchi o i banditi del Rhovanion) subiscono penalità severissime (spesso fino a -50 o -100 sui tiri di Percezione o Seguire Tracce) per accorgersi che quelle tracce naturali nascondono in realtà un messaggio in codice."
"Ovestron (Linguaggio Comune)";"Beorniani, Númenóreani Neri, Corsari, Dorwiniani, Dúnedain, Dunlandiani, Nani, Esterling, Mezzelfi, Mezzorchi, Mezzi troll, Elfi Silvani, Elfi Sindar, Haradrim del Sud, Troll, Cittadini (lingua madre), Uruk-hai, Umli, Variag, Hobbit, Lossoth, Elfi Noldor, Haradrim del Nord, Olog-hai, Orchetti, Rohirrim, Contadini (lingua madre), Uomini dei Boschi, Wose";"L'Ovestron (chiamato anche Lingua Comune o Westron) è l'idioma dominante, commerciale e diplomatico della Terra di Mezzo.Lo strumento fondamentale che permette a un gruppo di avventurieri composto da razze diverse di comunicare e viaggiare senza costanti barriere linguistiche. L'Ovestron deriva storicamente dall'Adûnaico (la lingua dei Númenóreani), che si fuse con gli idiomi nativi delle coste della Terra di Mezzo durante la Seconda Era. L'Ovestron non è monolitico, ma varia sensibilmente a seconda di chi lo parla. Ovestron Alto (Formale): parlato dall'aristocrazia di Gondor e dagli studiosi Dúnedain. È ricco, colto, influenzato da prestiti linguistici del Sindarin (Elfico) e viene scritto utilizzando i caratteri corsivi Tengwar. Ovestron Basso (Colloquiale): è la parlata dei mercanti, dei locandieri e dei contadini di Brea o dei territori centrali. Utilizza una grammatica semplificata e viene spesso scritto con l'alfabeto runico Cirth per scopi pratici (es. insegne di locande o registri contabili). La parlata della Contea è a tutti gli effetti un dialetto rustico dell'Ovestron, perfettamente comprensibile ma con un accento marcatamente rurale."